filepath,label
Fake faces/fake_4278.png,0
Real faces/real_231.png,1
Real faces/real_6784.png,1
Fake faces/fake_2098.png,0
Real faces/real_7605.png,1
Fake faces/fake_2014.png,0
Fake faces/fake_7509.png,0
Fake faces/fake_8520.png,0
Real faces/real_5392.png,1
Real faces/real_210.png,1
Fake faces/fake_8916.png,0
Fake faces/fake_3383.png,0
Fake faces/fake_4592.png,0
Fake faces/fake_6156.png,0
Real faces/real_8581.png,1
Fake faces/fake_5117.png,0
Real faces/real_4768.png,1
Real faces/real_3247.png,1
Real faces/real_9207.png,1
Real faces/real_3091.png,1
Fake faces/fake_3216.png,0
Real faces/real_1443.png,1
Real faces/real_3240.png,1
Fake faces/fake_1634.png,0
Fake faces/fake_3375.png,0
Fake faces/fake_2718.png,0
Real faces/real_592.png,1
Fake faces/fake_3598.png,0
Fake faces/fake_2452.png,0
Fake faces/fake_5208.png,0
Real faces/real_5599.png,1
Fake faces/fake_9.png,0
Real faces/real_8080.png,1
Fake faces/fake_768.png,0
Real faces/real_6757.png,1
Real faces/real_7822.png,1
Fake faces/fake_376.png,0
Fake faces/fake_7294.png,0
Fake faces/fake_9224.png,0
Real faces/real_2694.png,1
Real faces/real_9132.png,1
Real faces/real_1782.png,1
Fake faces/fake_9450.png,0
Real faces/real_8126.png,1
Fake faces/fake_4456.png,0
Fake faces/fake_8625.png,0
Fake faces/fake_2586.png,0
Fake faces/fake_4440.png,0
Fake faces/fake_6393.png,0
Real faces/real_9698.png,1
Fake faces/fake_4082.png,0
Fake faces/fake_6962.png,0
Real faces/real_6279.png,1
Fake faces/fake_8564.png,0
Fake faces/fake_7672.png,0
Fake faces/fake_5154.png,0
Real faces/real_3072.png,1
Fake faces/fake_6724.png,0
Fake faces/fake_6430.png,0
Fake faces/fake_5852.png,0
Real faces/real_8623.png,1
Fake faces/fake_8609.png,0
Fake faces/fake_3506.png,0
Real faces/real_6494.png,1
Fake faces/fake_3051.png,0
Fake faces/fake_3925.png,0
Fake faces/fake_8228.png,0
Fake faces/fake_2662.png,0
Real faces/real_5481.png,1
Fake faces/fake_8527.png,0
Fake faces/fake_6433.png,0
Fake faces/fake_3639.png,0
Fake faces/fake_4720.png,0
Fake faces/fake_84.png,0
Fake faces/fake_8759.png,0
Fake faces/fake_6633.png,0
Real faces/real_6236.png,1
Real faces/real_6440.png,1
Real faces/real_9343.png,1
Real faces/real_136.png,1
Fake faces/fake_2831.png,0
Fake faces/fake_3084.png,0
Fake faces/fake_4646.png,0
Real faces/real_1599.png,1
Fake faces/fake_7539.png,0
Real faces/real_5223.png,1
Real faces/real_4194.png,1
Real faces/real_8603.png,1
Fake faces/fake_1351.png,0
Fake faces/fake_3846.png,0
Fake faces/fake_9713.png,0
Real faces/real_6095.png,1
Real faces/real_5829.png,1
Fake faces/fake_6195.png,0
Real faces/real_5721.png,1
Fake faces/fake_3477.png,0
Fake faces/fake_3830.png,0
Fake faces/fake_6825.png,0
Fake faces/fake_3469.png,0
Real faces/real_7784.png,1
Fake faces/fake_7975.png,0
Real faces/real_6574.png,1
Real faces/real_192.png,1
Real faces/real_2316.png,1
Real faces/real_1208.png,1
Fake faces/fake_3678.png,0
Real faces/real_2762.png,1
Fake faces/fake_8751.png,0
Fake faces/fake_8038.png,0
Real faces/real_8682.png,1
Real faces/real_280.png,1
Real faces/real_8769.png,1
Real faces/real_5767.png,1
Fake faces/fake_8400.png,0
Fake faces/fake_4168.png,0
Real faces/real_8684.png,1
Fake faces/fake_41.png,0
Fake faces/fake_1305.png,0
Real faces/real_2209.png,1
Fake faces/fake_6153.png,0
Real faces/real_7724.png,1
Fake faces/fake_7386.png,0
Real faces/real_8236.png,1
Real faces/real_6122.png,1
Real faces/real_9322.png,1
Real faces/real_4368.png,1
Real faces/real_2084.png,1
Fake faces/fake_9882.png,0
Real faces/real_3550.png,1
Real faces/real_3724.png,1
Fake faces/fake_1087.png,0
Real faces/real_1050.png,1
Fake faces/fake_279.png,0
Real faces/real_2417.png,1
Real faces/real_1628.png,1
Real faces/real_1328.png,1
Fake faces/fake_9572.png,0
Real faces/real_7798.png,1
Real faces/real_1449.png,1
Real faces/real_7207.png,1
Real faces/real_2110.png,1
Fake faces/fake_7908.png,0
Real faces/real_8774.png,1
Real faces/real_7020.png,1
Real faces/real_9828.png,1
Real faces/real_9081.png,1
Fake faces/fake_1017.png,0
Fake faces/fake_8793.png,0
Real faces/real_1775.png,1
Fake faces/fake_1709.png,0
Fake faces/fake_2237.png,0
Fake faces/fake_4258.png,0
Fake faces/fake_4422.png,0
Fake faces/fake_7725.png,0
Fake faces/fake_9637.png,0
Real faces/real_3425.png,1
Fake faces/fake_1004.png,0
Fake faces/fake_9949.png,0
Fake faces/fake_719.png,0
Real faces/real_6420.png,1
Real faces/real_352.png,1
Real faces/real_9863.png,1
Real faces/real_6339.png,1
Real faces/real_1115.png,1
Real faces/real_9473.png,1
Fake faces/fake_7455.png,0
Fake faces/fake_8102.png,0
Real faces/real_1026.png,1
Real faces/real_9029.png,1
Real faces/real_5524.png,1
Fake faces/fake_6276.png,0
Real faces/real_3444.png,1
Real faces/real_4888.png,1
Fake faces/fake_7798.png,0
Real faces/real_626.png,1
Real faces/real_1175.png,1
Fake faces/fake_4161.png,0
Fake faces/fake_9471.png,0
Fake faces/fake_4951.png,0
Real faces/real_4729.png,1
Fake faces/fake_4214.png,0
Fake faces/fake_1929.png,0
Fake faces/fake_9832.png,0
Fake faces/fake_1870.png,0
Real faces/real_5923.png,1
Real faces/real_1625.png,1
Real faces/real_8756.png,1
Real faces/real_5123.png,1
Fake faces/fake_4897.png,0
Real faces/real_9562.png,1
Real faces/real_3239.png,1
Fake faces/fake_9895.png,0
Fake faces/fake_8266.png,0
Real faces/real_5701.png,1
Fake faces/fake_1508.png,0
Fake faces/fake_8236.png,0
Real faces/real_6555.png,1
Fake faces/fake_2851.png,0
Real faces/real_7949.png,1
Real faces/real_6137.png,1
Real faces/real_5061.png,1
Real faces/real_1361.png,1
Fake faces/fake_5056.png,0
Real faces/real_8130.png,1
Real faces/real_4669.png,1
Fake faces/fake_4975.png,0
Real faces/real_9232.png,1
Real faces/real_8441.png,1
Fake faces/fake_1100.png,0
Real faces/real_1626.png,1
Fake faces/fake_5418.png,0
Real faces/real_3542.png,1
Real faces/real_1053.png,1
Real faces/real_8894.png,1
Real faces/real_1632.png,1
Fake faces/fake_5870.png,0
Real faces/real_2647.png,1
Real faces/real_1697.png,1
Real faces/real_2555.png,1
Real faces/real_2786.png,1
Fake faces/fake_3958.png,0
Fake faces/fake_8161.png,0
Fake faces/fake_1743.png,0
Fake faces/fake_8251.png,0
Fake faces/fake_6083.png,0
Real faces/real_9527.png,1
Real faces/real_4742.png,1
Real faces/real_7182.png,1
Real faces/real_4533.png,1
Real faces/real_6828.png,1
Real faces/real_6158.png,1
Fake faces/fake_9053.png,0
Real faces/real_710.png,1
Real faces/real_7235.png,1
Real faces/real_8727.png,1
Real faces/real_6219.png,1
Fake faces/fake_5012.png,0
Fake faces/fake_3844.png,0
Real faces/real_8200.png,1
Real faces/real_1162.png,1
Fake faces/fake_4682.png,0
Real faces/real_1566.png,1
Fake faces/fake_3207.png,0
Real faces/real_8116.png,1
Real faces/real_1019.png,1
Fake faces/fake_9024.png,0
Fake faces/fake_8053.png,0
Real faces/real_2609.png,1
Real faces/real_3278.png,1
Real faces/real_2643.png,1
Fake faces/fake_6012.png,0
Fake faces/fake_5149.png,0
Fake faces/fake_3438.png,0
Fake faces/fake_226.png,0
Real faces/real_424.png,1
Real faces/real_6908.png,1
Fake faces/fake_3201.png,0
Real faces/real_2453.png,1
Fake faces/fake_8579.png,0
Fake faces/fake_2638.png,0
Real faces/real_1932.png,1
Fake faces/fake_3728.png,0
Fake faces/fake_2015.png,0
Fake faces/fake_5650.png,0
Real faces/real_993.png,1
Real faces/real_4933.png,1
Fake faces/fake_897.png,0
Fake faces/fake_6019.png,0
Fake faces/fake_5621.png,0
Fake faces/fake_8324.png,0
Real faces/real_4807.png,1
Real faces/real_4923.png,1
Real faces/real_3746.png,1
Fake faces/fake_6390.png,0
Fake faces/fake_7673.png,0
Fake faces/fake_2492.png,0
Fake faces/fake_6986.png,0
Real faces/real_2685.png,1
Fake faces/fake_3689.png,0
Fake faces/fake_409.png,0
Fake faces/fake_6558.png,0
Real faces/real_7076.png,1
Real faces/real_6215.png,1
Fake faces/fake_978.png,0
Real faces/real_9026.png,1
Fake faces/fake_2203.png,0
Real faces/real_5488.png,1
Real faces/real_5222.png,1
Real faces/real_779.png,1
Fake faces/fake_8616.png,0
Real faces/real_8129.png,1
Real faces/real_1155.png,1
Real faces/real_5687.png,1
Real faces/real_4396.png,1
Fake faces/fake_6130.png,0
Real faces/real_574.png,1
Fake faces/fake_1512.png,0
Real faces/real_2013.png,1
Fake faces/fake_8375.png,0
Fake faces/fake_2808.png,0
Fake faces/fake_1516.png,0
Fake faces/fake_868.png,0
Fake faces/fake_6638.png,0
Real faces/real_8001.png,1
Fake faces/fake_9090.png,0
Real faces/real_8511.png,1
Fake faces/fake_8170.png,0
Fake faces/fake_7049.png,0
Real faces/real_1433.png,1
Real faces/real_135.png,1
Real faces/real_7802.png,1
Real faces/real_5075.png,1
Real faces/real_5417.png,1
Fake faces/fake_7838.png,0
Fake faces/fake_8055.png,0
Fake faces/fake_1419.png,0
Real faces/real_581.png,1
Real faces/real_4616.png,1
Real faces/real_4539.png,1
Real faces/real_5596.png,1
Fake faces/fake_8185.png,0
Real faces/real_5326.png,1
Fake faces/fake_8962.png,0
Fake faces/fake_2505.png,0
Real faces/real_7311.png,1
Real faces/real_5059.png,1
Fake faces/fake_9769.png,0
Real faces/real_5283.png,1
Fake faces/fake_8084.png,0
Fake faces/fake_8360.png,0
Fake faces/fake_3915.png,0
Real faces/real_7197.png,1
Fake faces/fake_7681.png,0
Real faces/real_3345.png,1
Real faces/real_5333.png,1
Fake faces/fake_5752.png,0
Fake faces/fake_494.png,0
Real faces/real_7297.png,1
Real faces/real_4401.png,1
Real faces/real_4493.png,1
Fake faces/fake_7788.png,0
Fake faces/fake_6263.png,0
Fake faces/fake_5366.png,0
Fake faces/fake_7946.png,0
Real faces/real_1036.png,1
